"ProbeID"	"GeneID"	"GeneSymbol"	"isSingleGeneID"	"Chip"
"AFFX-MurIL2_at"	NA	NA	NA	NA	NA
"AFFX-MurIL10_at"	"AFFX-MurIL10_at"	16153	"Il10"	TRUE	"HG_U95AV2"
"AFFX-MurIL4_at"	"AFFX-MurIL4_at"	16189	"Il4"	TRUE	"HG_U95AV2"
"AFFX-MurFAS_at"	"AFFX-MurFAS_at"	14102	"Fas"	TRUE	"HG_U95AV2"
"AFFX-BioB-5_at"	NA	NA	NA	NA	NA
"AFFX-BioB-M_at"	NA	NA	NA	NA	NA
"AFFX-BioB-3_at"	NA	NA	NA	NA	NA
"AFFX-BioC-5_at"	NA	NA	NA	NA	NA
"AFFX-BioC-3_at"	NA	NA	NA	NA	NA
"AFFX-BioDn-5_at"	NA	NA	NA	NA	NA
"AFFX-BioDn-3_at"	NA	NA	NA	NA	NA
"AFFX-CreX-5_at"	NA	NA	NA	NA	NA
"AFFX-CreX-3_at"	NA	NA	NA	NA	NA
"AFFX-BioB-5_st"	NA	NA	NA	NA	NA
"AFFX-BioB-M_st"	NA	NA	NA	NA	NA
"AFFX-BioB-3_st"	NA	NA	NA	NA	NA
"AFFX-BioC-5_st"	NA	NA	NA	NA	NA
"AFFX-BioC-3_st"	NA	NA	NA	NA	NA
"AFFX-BioDn-5_st"	NA	NA	NA	NA	NA
"AFFX-BioDn-3_st"	NA	NA	NA	NA	NA
"AFFX-CreX-5_st"	NA	NA	NA	NA	NA
"AFFX-CreX-3_st"	NA	NA	NA	NA	NA
"AFFX-hum_alu_at"	NA	NA	NA	NA	NA
"AFFX-DapX-5_at"	NA	NA	NA	NA	NA
"AFFX-DapX-M_at"	NA	NA	NA	NA	NA
"AFFX-DapX-3_at"	NA	NA	NA	NA	NA
"AFFX-LysX-5_at"	NA	NA	NA	NA	NA
"AFFX-LysX-M_at"	NA	NA	NA	NA	NA
"AFFX-LysX-3_at"	NA	NA	NA	NA	NA
"AFFX-PheX-5_at"	NA	NA	NA	NA	NA
"AFFX-PheX-M_at"	NA	NA	NA	NA	NA
"AFFX-PheX-3_at"	NA	NA	NA	NA	NA
"AFFX-ThrX-5_at"	NA	NA	NA	NA	NA
"AFFX-ThrX-M_at"	NA	NA	NA	NA	NA
"AFFX-ThrX-3_at"	NA	NA	NA	NA	NA
"AFFX-TrpnX-5_at"	NA	NA	NA	NA	NA
"AFFX-TrpnX-M_at"	NA	NA	NA	NA	NA
"AFFX-TrpnX-3_at"	NA	NA	NA	NA	NA
"AFFX-HUMISGF3A/M97935_5_at"	"AFFX-HUMISGF3A/M97935_5_at"	6772	"STAT1"	TRUE	"HG_U95AV2"
"AFFX-HUMISGF3A/M97935_MA_at"	"AFFX-HUMISGF3A/M97935_MA_at"	6772	"STAT1"	TRUE	"HG_U95AV2"
"AFFX-HUMISGF3A/M97935_MB_at"	"AFFX-HUMISGF3A/M97935_MB_at"	6772	"STAT1"	TRUE	"HG_U95AV2"
"AFFX-HUMISGF3A/M97935_3_at"	"AFFX-HUMISGF3A/M97935_3_at"	6772	"STAT1"	TRUE	"HG_U95AV2"
"AFFX-HUMRGE/M10098_5_at"	NA	NA	NA	NA	NA
"AFFX-HUMRGE/M10098_M_at"	NA	NA	NA	NA	NA
"AFFX-HUMRGE/M10098_3_at"	NA	NA	NA	NA	NA
"AFFX-HUMGAPDH/M33197_5_at"	"AFFX-HUMGAPDH/M33197_5_at"	2597	"GAPDH"	TRUE	"HG_U95AV2"
