"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	"N"	"O"	"P"	"Q"	"R"	"S"	"T"
"AFFX-MurIL2_at"	8.57099007827353	10.4282988245237	9.6167131912746	9.93715527354322	9.98380913982643	10.0634843284441	10.662059287716	11.2691146948727	8.81286924435235	10.1651593838186	9.38107177332758	8.22797041146687	7.62724848326875	7.66744519734815	10.206352994619	10.0154660054644	9.35851637984003	8.82434804050119	9.26247774855587	7.23292736443832
"AFFX-MurIL10_at"	7.62356162933574	7.54360436828767	7.91695399954929	6.81639700357263	7.51698111486836	7.72671589981662	7.28895951719981	7.7241534156527	6.76348988347147	7.54390712555185	7.78420530221786	7.04189015620972	7.15142156514094	6.76994774603193	8.70947523076377	8.37488135882607	7.68761085654038	8.39719579394814	7.6660079561362	7.30086585053816
"AFFX-MurIL4_at"	8.90354703498219	9.90395311871681	8.49449861165385	9.53398312715624	8.87166942148034	9.42409204620908	8.99993804635396	8.00684797713636	9.19055303367423	8.40878894083486	8.51135632393877	8.7003631063434	8.28171443461802	8.40300467118628	8.16956165829865	8.13092774387247	8.53088059945875	9.0197714751881	8.49490075307623	9.56613861923601
"AFFX-MurFAS_at"	9.3718876312877	9.3221769681982	9.30498242996806	9.13536989487571	9.62717543766883	9.1894198921124	9.3121640171553	9.94643022961283	9.11225491042964	9.57702426629014	9.23547459682002	8.30475068024944	9.27885861950678	8.93497788994272	9.7219522572051	9.51809015225206	8.43382589758049	9.23134020563194	9.06619268507979	9.69643921267676
"AFFX-BioB-5_at"	5.69898358472929	6.17283147752303	6.29850457496504	6.68034193800871	6.65872306201314	6.37204795712834	7.25225408886631	6.67447282282558	6.8837876834181	5.7147776716129	6.31527733393654	5.95660539391755	5.82644090329692	5.91836457236701	6.25013657772528	4.8867530002563	5.25126599608558	5.07563642690939	5.28540381274974	6.11545470170074
"AFFX-BioB-M_at"	4.92152838585427	4.11558789671014	4.74384369015056	4.69100735859594	5.40661272146122	4.43190009043444	3.93102781499742	5.12929633144514	3.95674243462393	5.17805081992768	5.64884320924743	4.92663369576911	4.38358752484592	5.02090659707129	3.73540972779946	4.38781619174867	4.56017763168607	5.033051307016	5.00833991251503	6.43117039769316
"AFFX-BioB-3_at"	6.12341129901119	6.16381312661738	6.01675571861133	5.9306993052905	5.84848672424794	5.82083732016766	6.31974329170781	5.79467727799939	6.07945420638758	6.10905253655042	5.57985931027105	5.80159317936516	6.31969401398897	5.8402486417421	6.34170364149484	6.38191013453002	6.51829323329052	5.99260104872793	6.3502374659463	5.87758341476876
"AFFX-BioC-5_at"	7.44040753207393	8.22534253915295	6.91669515009095	7.92141261211078	7.4892892817373	7.52038364106454	7.60833648317199	7.26212086833153	8.05971292482015	7.46682079461833	8.39154176312605	7.43332757844973	8.14147388850891	7.01293874314006	7.47140206531787	8.11841774239465	7.24790515573814	7.45508131844487	7.56168900297166	7.41095558568921
"AFFX-BioC-3_at"	7.85007851153501	7.14921417876809	8.53643198427485	7.5385109855942	7.97812700894218	7.97340078842584	8.22850317520687	8.52594404265454	8.43641787138457	7.81604543907334	8.1934547727302	8.90491160207029	7.68370592296261	8.1046968778093	6.45862097355234	7.04256812503473	7.56810601728084	7.61919752265807	8.50792179570719	8.3523822442147
"AFFX-BioDn-5_at"	5.22884581648357	4.37478921840593	4.52672527844673	4.95829922126247	4.93613092813581	5.28520244034858	4.687627789895	4.42860779135716	4.87204887995987	5.04627109977352	4.95687815516699	4.74545706515578	5.09296721604467	4.45155055499808	4.93982148237571	4.31219143384827	4.74883988406142	4.70824154877906	4.43109954619833	4.64943279640252
"AFFX-BioDn-3_at"	7.54201793008895	5.7903785993009	7.47286460700425	7.36251852158112	7.57391559005186	7.42093825508053	5.59994042862097	7.91834393421485	7.13949810651152	6.27461401037842	8.02107974619757	7.86498761849681	6.039602129745	7.37146469330744	6.027595898288	6.54782389226623	7.63112598811647	5.9737344818016	7.02844255717237	6.35020829218039
"AFFX-CreX-5_at"	8.0634282564951	6.74053885345553	8.12662119360106	5.73997332945986	8.53308763023943	8.23252447024998	6.92275516441791	7.81519851656471	8.51072474524276	8.12698162542511	7.71773445136679	8.51301790349217	6.67753900626958	6.93054086779822	7.44006843426757	7.70407266604737	7.07872675804715	7.59792516555425	8.61880892022141	8.47499555748354
"AFFX-CreX-3_at"	4.71675826630659	5.22823996006987	4.5956428278307	4.57066941630317	4.96098035226843	4.91197125831798	4.78772062206611	4.35390984589475	5.23744624847897	5.67402417952152	6.70430729479348	4.89819010621007	7.01929452302597	4.45984923640244	4.5763201002924	6.17747276401194	5.47936813345224	5.01085888958146	5.74566659213553	4.76668002361957
