"ProbeID"	"GeneID"	"GeneSymbol"	"isSingleGeneID"	"Chip"
"210962_s_at"	"210962_s_at"	10142	"AKAP9"	TRUE	"HG-U133_PLUS_2"
"212532_s_at"	"212532_s_at"	124801	"LSM12"	TRUE	"HG-U133_PLUS_2"
"1553219_a_at"	"1553219_a_at"	9949	"AMMECR1"	TRUE	"HG-U133_PLUS_2"
"233052_at"	"233052_at"	1769	"DNAH8"	TRUE	"HG-U133_PLUS_2"
"205738_s_at"	"205738_s_at"	2170	"FABP3"	TRUE	"HG-U133_PLUS_2"
"233582_at"	"233582_at"	115110	"LOC115110"	TRUE	"HG-U133_PLUS_2"
"1565000_a_at"	"1565000_a_at"	255394	"TCP11L2"	TRUE	"HG-U133_PLUS_2"
"230448_at"	"230448_at"	124565	"SLC38A10"	TRUE	"HG-U133_PLUS_2"
"1562541_at"	"1562541_at"	285928	"LOC285928"	TRUE	"HG-U133_PLUS_2"
"204373_s_at"	"204373_s_at"	9857	"CEP350"	TRUE	"HG-U133_PLUS_2"
"1564472_at"	"1564472_at"	5154	"PDGFA"	FALSE	"HG-U133_PLUS_2"
"242880_at"	"242880_at"	259232	"NALCN"	TRUE	"HG-U133_PLUS_2"
"1555870_at"	"1555870_at"	388591	"RNF207"	TRUE	"HG-U133_PLUS_2"
"216008_s_at"	"216008_s_at"	10425	"ARIH2"	TRUE	"HG-U133_PLUS_2"
"218151_x_at"	"218151_x_at"	79581	"GPR172A"	TRUE	"HG-U133_PLUS_2"
"222451_s_at"	"222451_s_at"	51114	"ZDHHC9"	TRUE	"HG-U133_PLUS_2"
"209710_at"	"209710_at"	2624	"GATA2"	TRUE	"HG-U133_PLUS_2"
"1556701_at"	"1556701_at"	22839	"DLGAP4"	TRUE	"HG-U133_PLUS_2"
"202102_s_at"	"202102_s_at"	23476	"BRD4"	TRUE	"HG-U133_PLUS_2"
"1554408_a_at"	"1554408_a_at"	7083	"TK1"	TRUE	"HG-U133_PLUS_2"
"214298_x_at"	"214298_x_at"	23157	"SEPT6"	TRUE	"HG-U133_PLUS_2"
"224041_at"	"224041_at"	84672	"TTTY6"	TRUE	"HG-U133_PLUS_2"
"221014_s_at"	"221014_s_at"	83452	"RAB33B"	TRUE	"HG-U133_PLUS_2"
"1557385_at"	"1557385_at"	84140	"FAM161A"	TRUE	"HG-U133_PLUS_2"
"203891_s_at"	"203891_s_at"	1613	"DAPK3"	TRUE	"HG-U133_PLUS_2"
"208633_s_at"	"208633_s_at"	23499	"MACF1"	TRUE	"HG-U133_PLUS_2"
"210684_s_at"	"210684_s_at"	1742	"DLG4"	TRUE	"HG-U133_PLUS_2"
"223031_s_at"	"223031_s_at"	84231	"TRAF7"	TRUE	"HG-U133_PLUS_2"
"206474_at"	"206474_at"	5128	"PCTK2"	TRUE	"HG-U133_PLUS_2"
"233795_at"	"233795_at"	113746	"ODF3"	TRUE	"HG-U133_PLUS_2"
"242545_at"	"242545_at"	158135	"TTLL11"	TRUE	"HG-U133_PLUS_2"
"1559390_a_at"	"1559390_a_at"	149643	"LOC149643"	TRUE	"HG-U133_PLUS_2"
"238740_at"	"238740_at"	80755	"AARSD1"	TRUE	"HG-U133_PLUS_2"
"221828_s_at"	"221828_s_at"	89853	"FAM125B"	TRUE	"HG-U133_PLUS_2"
"229936_at"	"229936_at"	2676	"GFRA3"	TRUE	"HG-U133_PLUS_2"
"224789_at"	"224789_at"	25853	"WDR40A"	TRUE	"HG-U133_PLUS_2"
"243351_at"	"243351_at"	440119	"FLJ31485"	TRUE	"HG-U133_PLUS_2"
"1555618_s_at"	"1555618_s_at"	10055	"SAE1"	TRUE	"HG-U133_PLUS_2"
"215719_x_at"	"215719_x_at"	355	"FAS"	TRUE	"HG-U133_PLUS_2"
"242541_at"	"242541_at"	10350	"ABCA9"	TRUE	"HG-U133_PLUS_2"
"244364_at"	"244364_at"	53904	"MYO3A"	TRUE	"HG-U133_PLUS_2"
"213701_at"	"213701_at"	91298	"C12orf29"	TRUE	"HG-U133_PLUS_2"
"218933_at"	"218933_at"	79029	"SPATA5L1"	TRUE	"HG-U133_PLUS_2"
"1558648_at"	"1558648_at"	90416	"C15orf57"	TRUE	"HG-U133_PLUS_2"
"1564426_x_at"	"1564426_x_at"	389634	"LOC389634"	FALSE	"HG-U133_PLUS_2"
"240643_at"	"240643_at"	84630	"TTBK1"	TRUE	"HG-U133_PLUS_2"
"214174_s_at"	"214174_s_at"	8572	"PDLIM4"	TRUE	"HG-U133_PLUS_2"
"1554987_at"	"1554987_at"	2802	"GOLGA3"	TRUE	"HG-U133_PLUS_2"
"208738_x_at"	"208738_x_at"	6613	"SUMO2"	TRUE	"HG-U133_PLUS_2"
"210503_at"	"210503_at"	4110	"MAGEA11"	TRUE	"HG-U133_PLUS_2"
"209295_at"	"209295_at"	8795	"TNFRSF10B"	TRUE	"HG-U133_PLUS_2"
"221721_s_at"	"221721_s_at"	11178	"LZTS1"	TRUE	"HG-U133_PLUS_2"
"210122_at"	"210122_at"	5620	"PRM2"	TRUE	"HG-U133_PLUS_2"
"1562434_at"	"1562434_at"	85451	"UNK"	TRUE	"HG-U133_PLUS_2"
"223807_at"	"223807_at"	3547	"IGSF1"	TRUE	"HG-U133_PLUS_2"
"204998_s_at"	"204998_s_at"	22809	"ATF5"	TRUE	"HG-U133_PLUS_2"
"226614_s_at"	"226614_s_at"	83648	"FAM167A"	TRUE	"HG-U133_PLUS_2"
"1563003_at"	"1563003_at"	3687	"ITGAX"	TRUE	"HG-U133_PLUS_2"
"225010_at"	"225010_at"	8030	"CCDC6"	TRUE	"HG-U133_PLUS_2"
"207221_at"	"207221_at"	9002	"F2RL3"	TRUE	"HG-U133_PLUS_2"
"203787_at"	"203787_at"	23635	"SSBP2"	TRUE	"HG-U133_PLUS_2"
"222114_x_at"	"222114_x_at"	54853	"WDR55"	TRUE	"HG-U133_PLUS_2"
"213934_s_at"	"213934_s_at"	7567	"ZNF19"	FALSE	"HG-U133_PLUS_2"
"222781_s_at"	"222781_s_at"	55071	"C9orf40"	TRUE	"HG-U133_PLUS_2"
"1569369_at"	"1569369_at"	57732	"ZFYVE28"	TRUE	"HG-U133_PLUS_2"
"223003_at"	"223003_at"	79002	"C19orf43"	TRUE	"HG-U133_PLUS_2"
"207447_s_at"	"207447_s_at"	25834	"MGAT4C"	TRUE	"HG-U133_PLUS_2"
"226740_x_at"	"226740_x_at"	200030	"RP11-94I2"	FALSE	"HG-U133_PLUS_2"
