"ProbeID"	"GeneID"	"GeneSymbol"	"GeneName"	"isSingleGeneID"	"Chip"
"218731_s_at"	64856	"VWA1"	"von Willebrand factor A domain containing 1"	TRUE	"HG-U133A"
"207876_s_at"	2318	"FLNC"	"filamin C, gamma"	TRUE	"HG-U133A"
"216051_x_at"	NA	NA	NA	NA	NA
"219344_at"	55315	"SLC29A3"	"solute carrier family 29 (nucleoside transporters), member 3"	TRUE	"HG-U133A"
"219442_at"	100132341	"KIAA0664L3"	"KIAA0664-like 3"	TRUE	"HG-U133A"
"219361_s_at"	64782	"AEN"	"apoptosis enhancing nuclease"	TRUE	"HG-U133A"
"202080_s_at"	22906	"TRAK1"	"trafficking protein, kinesin binding 1"	TRUE	"HG-U133A"
"216535_at"	57863	"CADM3"	"cell adhesion molecule 3"	TRUE	"HG-U133A"
"214791_at"	93349	"SP140L"	"SP140 nuclear body protein-like"	TRUE	"HG-U133A"
"205688_at"	7023	"TFAP4"	"transcription factor AP-4 (activating enhancer binding protein 4)"	TRUE	"HG-U133A"
"212358_at"	25999	"CLIP3"	"CAP-GLY domain containing linker protein 3"	TRUE	"HG-U133A"
"211157_at"	NA	NA	NA	NA	NA
"219968_at"	51385	"ZNF589"	"zinc finger protein 589"	TRUE	"HG-U133A"
"211738_x_at"	10136	"CELA3A"	"chymotrypsin-like elastase family, member 3A"	TRUE	"HG-U133A"
"205929_at"	10223	"GPA33"	"glycoprotein A33 (transmembrane)"	TRUE	"HG-U133A"
"220745_at"	29949	"IL19"	"interleukin 19"	TRUE	"HG-U133A"
"201389_at"	3678	"ITGA5"	"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"	TRUE	"HG-U133A"
"218429_s_at"	55337	"C19orf66"	"chromosome 19 open reading frame 66"	TRUE	"HG-U133A"
"206780_at"	2572	"GAD2"	"glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)"	TRUE	"HG-U133A"
"204440_at"	9308	"CD83"	"CD83 molecule"	TRUE	"HG-U133A"
"220743_at"	NA	NA	NA	NA	NA
"221119_at"	54848	"ARHGEF38"	"Rho guanine nucleotide exchange factor (GEF) 38"	TRUE	"HG-U133A"
"213263_s_at"	5094	"PCBP2"	"poly(rC) binding protein 2"	TRUE	"HG-U133A"
"211531_x_at"	5542	"PRB1"	"proline-rich protein BstNI subfamily 1"	TRUE	"HG-U133A"
"221382_at"	NA	NA	NA	NA	NA
"208161_s_at"	8714	"ABCC3"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"	TRUE	"HG-U133A"
"220250_at"	57335	"ZNF286A"	"zinc finger protein 286A"	TRUE	"HG-U133A"
"206832_s_at"	6405	"SEMA3F"	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F"	TRUE	"HG-U133A"
"206097_at"	5003	"SLC22A18AS"	"solute carrier family 22 (organic cation transporter), member 18 antisense"	TRUE	"HG-U133A"
"208034_s_at"	8858	"PROZ"	"protein Z, vitamin K-dependent plasma glycoprotein"	TRUE	"HG-U133A"
"211807_x_at"	56101	"PCDHGB5"	"protocadherin gamma subfamily B, 5"	TRUE	"HG-U133A"
"206199_at"	1087	"CEACAM7"	"carcinoembryonic antigen-related cell adhesion molecule 7"	TRUE	"HG-U133A"
"221573_at"	79020	"C7orf25"	"chromosome 7 open reading frame 25"	TRUE	"HG-U133A"
"218029_at"	79567	"FAM65A"	"family with sequence similarity 65, member A"	TRUE	"HG-U133A"
"209283_at"	1410	"CRYAB"	"crystallin, alpha B"	TRUE	"HG-U133A"
