"ProbeID"	"GeneID"	"GeneSymbol"	"GeneName"	"isSingleGeneID"	"Chip"
"219625_s_at"	10087	"COL4A3BP"	"collagen, type IV, alpha 3 (Goodpasture antigen) binding protein"	TRUE	"HG-U133A"
"210883_x_at"	1949	"EFNB3"	"ephrin-B3"	TRUE	"HG-U133A"
"214831_at"	80306	"MED28"	"mediator complex subunit 28"	TRUE	"HG-U133A"
"205793_x_at"	8711	"TNK1"	"tyrosine kinase, non-receptor, 1"	TRUE	"HG-U133A"
"219924_s_at"	9204	"ZMYM6"	"zinc finger, MYM-type 6"	TRUE	"HG-U133A"
"221294_at"	2844	"GPR21"	"G protein-coupled receptor 21"	TRUE	"HG-U133A"
"204504_s_at"	8479	"HIRIP3"	"HIRA interacting protein 3"	TRUE	"HG-U133A"
"219418_at"	79840	"NHEJ1"	"nonhomologous end-joining factor 1"	TRUE	"HG-U133A"
"212849_at"	8312	"AXIN1"	"axin 1"	TRUE	"HG-U133A"
"205397_x_at"	4088	"SMAD3"	"SMAD family member 3"	TRUE	"HG-U133A"
"218650_at"	54487	"DGCR8"	"DiGeorge syndrome critical region gene 8"	TRUE	"HG-U133A"
"201426_s_at"	7431	"VIM"	"vimentin"	TRUE	"HG-U133A"
"214372_x_at"	10595	"ERN2"	"endoplasmic reticulum to nucleus signaling 2"	TRUE	"HG-U133A"
"209068_at"	9987	"HNRPDL"	"heterogeneous nuclear ribonucleoprotein D-like"	TRUE	"HG-U133A"
"218212_s_at"	4338	"MOCS2"	"molybdenum cofactor synthesis 2"	TRUE	"HG-U133A"
"206659_at"	NA	NA	NA	NA	NA
"217516_x_at"	421	"ARVCF"	"armadillo repeat gene deleted in velocardiofacial syndrome"	TRUE	"HG-U133A"
"220538_at"	79924	"ADM2"	"adrenomedullin 2"	TRUE	"HG-U133A"
"220917_s_at"	57728	"WDR19"	"WD repeat domain 19"	TRUE	"HG-U133A"
"215899_at"	NA	NA	NA	NA	NA
"220340_at"	80000	"GREB1L"	"growth regulation by estrogen in breast cancer-like"	TRUE	"HG-U133A"
"220213_at"	128553	"TSHZ2"	"teashirt zinc finger homeobox 2"	TRUE	"HG-U133A"
"221302_at"	28999	"KLF15"	"Kruppel-like factor 15"	TRUE	"HG-U133A"
"204056_s_at"	4598	"MVK"	"mevalonate kinase"	TRUE	"HG-U133A"
"219050_s_at"	741	"ZNHIT2"	"zinc finger, HIT-type containing 2"	TRUE	"HG-U133A"
"221881_s_at"	25932	"CLIC4"	"chloride intracellular channel 4"	TRUE	"HG-U133A"
"218660_at"	8291	"DYSF"	"dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)"	TRUE	"HG-U133A"
"219290_x_at"	27071	"DAPP1"	"dual adaptor of phosphotyrosine and 3-phosphoinositides"	TRUE	"HG-U133A"
"216172_at"	NA	NA	NA	NA	NA
"218825_at"	51162	"EGFL7"	"EGF-like-domain, multiple 7"	TRUE	"HG-U133A"
"211038_s_at"	84809	"CROCCP2"	"ciliary rootlet coiled-coil, rootletin pseudogene 2"	TRUE	"HG-U133A"
"203952_at"	22926	"ATF6"	"activating transcription factor 6"	TRUE	"HG-U133A"
"202249_s_at"	50717	"DCAF8"	"DDB1 and CUL4 associated factor 8"	TRUE	"HG-U133A"
"212630_at"	11336	"EXOC3"	"exocyst complex component 3"	TRUE	"HG-U133A"
"215809_at"	1565	"CYP2D6"	"cytochrome P450, family 2, subfamily D, polypeptide 6"	TRUE	"HG-U133A"
"202622_s_at"	6311	"ATXN2"	"ataxin 2"	TRUE	"HG-U133A"
"215931_s_at"	10564	"ARFGEF2"	"ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)"	TRUE	"HG-U133A"
"216186_at"	NA	NA	NA	NA	NA
"202027_at"	25829	"TMEM184B"	"transmembrane protein 184B"	TRUE	"HG-U133A"
"213439_x_at"	10900	"RUNDC3A"	"RUN domain containing 3A"	TRUE	"HG-U133A"
"215849_x_at"	NA	NA	NA	NA	NA
"202362_at"	5906	"RAP1A"	"RAP1A, member of RAS oncogene family"	TRUE	"HG-U133A"
"201534_s_at"	5412	"UBL3"	"ubiquitin-like 3"	TRUE	"HG-U133A"
"201326_at"	908	"CCT6A"	"chaperonin containing TCP1, subunit 6A (zeta 1)"	TRUE	"HG-U133A"
"212045_at"	2734	"GLG1"	"golgi glycoprotein 1"	TRUE	"HG-U133A"
"219692_at"	79412	"KREMEN2"	"kringle containing transmembrane protein 2"	TRUE	"HG-U133A"
"212827_at"	3507	"IGHM"	"immunoglobulin heavy constant mu"	TRUE	"HG-U133A"
"215684_s_at"	84164	"ASCC2"	"activating signal cointegrator 1 complex subunit 2"	TRUE	"HG-U133A"
"217148_x_at"	26586	"CKAP2"	"cytoskeleton associated protein 2"	TRUE	"HG-U133A"
"221544_s_at"	10025	"MED16"	"mediator complex subunit 16"	TRUE	"HG-U133A"
"204590_x_at"	65082	"VPS33A"	"vacuolar protein sorting 33 homolog A (S. cerevisiae)"	TRUE	"HG-U133A"
"209581_at"	11145	"PLA2G16"	"phospholipase A2, group XVI"	TRUE	"HG-U133A"
"209370_s_at"	6452	"SH3BP2"	"SH3-domain binding protein 2"	TRUE	"HG-U133A"
"213368_x_at"	8541	"PPFIA3"	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3"	TRUE	"HG-U133A"
"204260_at"	1114	"CHGB"	"chromogranin B (secretogranin 1)"	TRUE	"HG-U133A"
"207136_at"	407	"ARR3"	"arrestin 3, retinal (X-arrestin)"	TRUE	"HG-U133A"
"215195_at"	5578	"PRKCA"	"protein kinase C, alpha"	TRUE	"HG-U133A"
"220160_s_at"	11133	"KPTN"	"kaptin (actin binding protein)"	TRUE	"HG-U133A"
"221432_s_at"	81894	"SLC25A28"	"solute carrier family 25, member 28"	TRUE	"HG-U133A"
"204089_x_at"	4216	"MAP3K4"	"mitogen-activated protein kinase kinase kinase 4"	TRUE	"HG-U133A"
"213627_at"	10916	"MAGED2"	"melanoma antigen family D, 2"	TRUE	"HG-U133A"
"222104_x_at"	2967	"GTF2H3"	"general transcription factor IIH, polypeptide 3, 34kDa"	TRUE	"HG-U133A"
"218359_at"	80023	"NRSN2"	"neurensin 2"	TRUE	"HG-U133A"
"212005_at"	26099	"C1orf144"	"chromosome 1 open reading frame 144"	TRUE	"HG-U133A"
"217416_x_at"	NA	NA	NA	NA	NA
"212210_at"	26173	"INTS1"	"integrator complex subunit 1"	TRUE	"HG-U133A"
"214033_at"	368	"ABCC6"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 6"	TRUE	"HG-U133A"
"219166_at"	55172	"DNAAF2"	"dynein, axonemal, assembly factor 2"	TRUE	"HG-U133A"
"207951_at"	1447	"CSN2"	"casein beta"	TRUE	"HG-U133A"
"216181_at"	8871	"SYNJ2"	"synaptojanin 2"	TRUE	"HG-U133A"
"202643_s_at"	7128	"TNFAIP3"	"tumor necrosis factor, alpha-induced protein 3"	TRUE	"HG-U133A"
"213905_x_at"	633	"BGN"	"biglycan"	TRUE	"HG-U133A"
"204172_at"	1371	"CPOX"	"coproporphyrinogen oxidase"	TRUE	"HG-U133A"
"213174_at"	23508	"TTC9"	"tetratricopeptide repeat domain 9"	TRUE	"HG-U133A"
